1	3.2902798361
2	3.4140974875
3	3.4732236684
4	3.5966713720
5	3.6575619870
6	3.8773904762
7	4.0400389363
8	4.1033113474
9	4.1232573194
10	4.1728009903
11	4.3527328477
12	4.4720884948
13	4.5771827940
14	4.6518328439
15	4.8400812432
16	4.9260961354
17	5.0037960697
18	5.1969861751
19	5.2870925473
20	5.4052676196
21	5.4568604379
22	5.5613911320
23	5.6200569787
24	5.6398950015
25	5.6810072064
26	5.7572683039
27	5.8074587897
28	5.8894336897
29	5.9250513628
30	5.9451659013
31	6.0061118903
32	6.0782988248
33	6.0883814860
34	6.1050559829
35	6.1363502374
36	6.1610398018
37	6.2091451684
38	6.2281618031
39	6.2592175644
40	6.2739067404
41	6.2916832104
42	6.3148488989
43	6.3270234104
44	6.3490103081
45	6.3616662014
46	6.3812348446
47	6.4008112950
48	6.4255375885
49	6.4496059134
50	6.4652433315
51	6.4932981081
52	6.5047391206
53	6.5372877756
54	6.5514538667
55	6.5603650095
56	6.5820445034
57	6.6231619505
58	6.6318991066
59	6.6551149058
60	6.6740403678
61	6.6978076745
62	6.7207508215
63	6.7329626359
64	6.7363661808
65	6.7541323296
66	6.7680692008
67	6.7716354443
68	6.7879373870
69	6.8183035072
70	6.8291808961
71	6.8366324189
72	6.8381947813
73	6.8450608072
74	6.8486535106
75	6.8544746916
76	6.8628766442
77	6.8677614413
78	6.8784395784
79	6.8923131828
80	6.8983753488
81	6.9067945041
82	6.9214198982
83	6.9257381499
84	6.9330107490
85	6.9431608218
86	6.9490489250
87	6.9514348916
88	6.9567310058
89	6.9603387744
90	6.9635494577
91	6.9658705306
92	6.9771482593
93	6.9781311521
94	6.9865413171
95	6.9881461716
96	6.9943698513
97	6.9992679022
98	7.0031200920
99	7.0056202080
100	7.0110193666
